State | Type,Full-time faculty,White,Black,Hispanic,Asian,American Indian,Pacific Islander,Two or more,Unknown,Non-resident,Total minority,Female
Copper Mountain CollegeCalifornia | Associate,42,85.70%,N/A,9.50%,N/A,2.40%,2.40%,N/A,N/A,N/A,11.90%,52.40%
Cosumnes River CollegeCalifornia | Associate,178,51.10%,6.70%,14.60%,12.40%,1.10%,N/A,6.20%,5.60%,2.30%,36.00%,55.10%
Crafton Hills CollegeCalifornia | Associate,94,68.10%,10.60%,13.80%,7.40%,N/A,N/A,N/A,N/A,N/A,31.90%,51.10%
Cuesta CollegeCalifornia | Associate,153,81.00%,N/A,10.50%,2.00%,1.30%,N/A,0.70%,3.90%,0.70%,13.10%,56.20%
Cuyamaca CollegeCalifornia | Associate,83,78.30%,2.40%,9.60%,3.60%,1.20%,N/A,N/A,N/A,4.80%,20.50%,51.80%
Cypress CollegeCalifornia | Associate,197,55.80%,2.00%,14.20%,9.60%,0.50%,0.50%,4.10%,11.70%,1.50%,27.90%,57.40%
De Anza CollegeCalifornia | Associate,274,55.50%,7.70%,12.40%,17.50%,0.70%,N/A,0.40%,5.10%,0.70%,38.30%,51.50%
DeVry U. of CaliforniaCalifornia | Unclassified,94,57.50%,3.20%,1.10%,25.50%,2.10%,N/A,3.20%,7.40%,N/A,29.80%,14.90%
Diablo Valley CollegeCalifornia | Associate,254,62.20%,5.10%,7.90%,7.10%,0.40%,N/A,0.80%,16.50%,N/A,20.10%,52.80%
Dominican School of Philosophy and TheologyCalifornia | Special-Focus,13,92.30%,N/A,7.70%,N/A,N/A,N/A,N/A,N/A,N/A,7.70%,23.10%
Dominican U. of CaliforniaCalifornia | Master's,98,78.60%,4.10%,3.10%,10.20%,N/A,N/A,1.00%,3.10%,N/A,17.30%,62.20%
Dongguk U.California | Special-Focus,5,N/A,N/A,N/A,100.00%,N/A,N/A,N/A,N/A,N/A,100.00%,40.00%
East Los Angeles CollegeCalifornia | Associate,279,38.70%,3.60%,29.80%,16.50%,N/A,N/A,0.40%,10.80%,0.40%,50.20%,51.60%
El Camino CollegeCalifornia | Associate,329,66.30%,6.10%,12.20%,11.80%,0.30%,N/A,N/A,3.00%,0.30%,30.40%,54.70%
El Camino College at ComptonCalifornia | Associate,90,26.70%,42.20%,22.20%,4.40%,N/A,4.40%,N/A,N/A,N/A,73.30%,51.10%
Empire College School of BusinessCalifornia | Associate,19,94.70%,N/A,N/A,N/A,N/A,5.30%,N/A,N/A,N/A,5.30%,73.70%
Epic Bible CollegeCalifornia | Special-Focus,6,83.30%,N/A,N/A,N/A,16.70%,N/A,N/A,N/A,N/A,N/A,50.00%
Everest College-Los Angeles WilshireCalifornia | Associate,9,11.10%,33.30%,55.60%,N/A,N/A,N/A,N/A,N/A,N/A,88.90%,44.40%
Evergreen Valley CollegeCalifornia | Associate,119,41.20%,8.40%,25.20%,22.70%,0.80%,N/A,0.80%,0.80%,N/A,56.30%,58.80%
